Side,First Name,Middle Name,Last name,Email Address,Phone Number,Mehndi,Sangeet,Haldi,Wedding Ceremony,Reception,Group
Bride,Raju,N,Sharma,raju.sharma@examle.com,1234567890,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,R,Verma,rani.v@abc.com,1222222222,,Yes,,Yes,,USC friends
Bride,Bikram,P,Singh,b.simgh@yy.com,1333333333,,,,,Yes,Undergrad friends
Groom,Amar,J,Singh,a.singh@abc.com,1444444444,,,NO,YES,,Indian Society
Bride,Ram,K,Singh,ram@a.com,15555555555,,YES,,,,Dance friends
Bride,Raju,A,Sharma,raju.sharma@examle.com,1234567890,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,A,Verma,rani.v@abc.com,1222222222,,Yes,,Yes,,USC friends
Bride,Bikram,B,Singh,b.simgh@yy.com,1333333333,,,,,Yes,Undergrad friends
Groom,Amar,C,Singh,a.singh@abc.com,1444444444,,,NO,YES,,Indian Society
Bride,Ram,Q,Singh,ram@a.com,15555555555,,YES,,,,Dance friends
Bride,Raju,W,Sharma,raju.sharma@examle.com,1234567890,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,E,Verma,rani.v@abc.com,1222222222,,Yes,,Yes,,USC friends
Bride,Bikram,R,Singh,b.simgh@yy.com,1333333333,,,,,Yes,Undergrad friends
Groom,Amar,T,Singh,a.singh@abc.com,1444444444,,,NO,YES,,Indian Society
Bride,Ram,Y,Singh,ram@a.com,15555555555,,YES,,,,Dance friends
Bride,Raju,U,Sharma,raju.sharma@examle.com,1234567890,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,I,Verma,rani.v@abc.com,1222222222,,Yes,,Yes,,USC friends
Bride,Bikram,O,Singh,b.simgh@yy.com,1333333333,,,,,Yes,Undergrad friends
Groom,Amar,P,Singh,a.singh@abc.com,1444444444,,,NO,YES,,Indian Society
Bride,Ram,A,Singh,ram@a.com,15555555555,,YES,,,,Dance friends
Bride,Raju,S,Sharma,raju.sharma@examle.com,1234567890,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,D,Verma,rani.v@abc.com,1222222222,,Yes,,Yes,,USC friends
Bride,Bikram,F,Singh,b.simgh@yy.com,1333333333,,,,,Yes,Undergrad friends
Groom,Amar,G,Singh,a.singh@abc.com,1444444444,,,NO,YES,,Indian Society
Bride,Ram,H,Singh,ram@a.com,15555555555,,YES,,,,Dance friends
Bride,Raju,I,Sharma,raju.sharma@examle.com,1234567890,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,J,Verma,rani.v@abc.com,1222222222,,Yes,,Yes,,USC friends
Bride,Bikram,L,Singh,b.simgh@yy.com,1333333333,,,,,Yes,Undergrad friends
Groom,Amar,Z,Singh,a.singh@abc.com,1444444444,,,NO,YES,,Indian Society
Bride,Ram,C,Singh,ram@a.com,15555555555,,YES,,,,Dance friends
Bride,Raju,N,Sharma,raju.sharma@examle.com,123,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,R,Verma,rani.v@abc.com,124,,Yes,,Yes,,USC friends
Bride,Bikram,P,Singh,b.simgh@yy.com,125,,,,,Yes,Undergrad friends
Groom,Amar,J,Singh,a.singh@abc.com,126,,,NO,YES,,Indian Society
Bride,Ram,K,Singh,ram@a.com,127,,YES,,,,Dance friends
Bride,Raju,A,Sharma,raju.sharma@examle.com,128,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,A,Verma,rani.v@abc.com,129,,Yes,,Yes,,USC friends
Bride,Bikram,B,Singh,b.simgh@yy.com,130,,,,,Yes,Undergrad friends
Groom,Amar,C,Singh,a.singh@abc.com,131,,,NO,YES,,Indian Society
Bride,Ram,Q,Singh,ram@a.com,132,,YES,,,,Dance friends
Bride,Raju,W,Sharma,raju.sharma@examle.com,133,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,E,Verma,rani.v@abc.com,134,,Yes,,Yes,,USC friends
Bride,Bikram,R,Singh,b.simgh@yy.com,135,,,,,Yes,Undergrad friends
Groom,Amar,T,Singh,a.singh@abc.com,136,,,NO,YES,,Indian Society
Bride,Ram,Y,Singh,ram@a.com,137,,YES,,,,Dance friends
Bride,Raju,U,Sharma,raju.sharma@examle.com,138,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,I,Verma,rani.v@abc.com,139,,Yes,,Yes,,USC friends
Bride,Bikram,O,Singh,b.simgh@yy.com,140,,,,,Yes,Undergrad friends
Groom,Amar,P,Singh,a.singh@abc.com,141,,,NO,YES,,Indian Society
Bride,Ram,A,Singh,ram@a.com,142,,YES,,,,Dance friends
Bride,Raju,S,Sharma,raju.sharma@examle.com,143,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,D,Verma,rani.v@abc.com,144,,Yes,,Yes,,USC friends
Bride,Bikram,F,Singh,b.simgh@yy.com,145,,,,,Yes,Undergrad friends
Groom,Amar,G,Singh,a.singh@abc.com,146,,,NO,YES,,Indian Society
Bride,Ram,H,Singh,ram@a.com,147,,YES,,,,Dance friends
Bride,Raju,I,Sharma,raju.sharma@examle.com,148,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,J,Verma,rani.v@abc.com,149,,Yes,,Yes,,USC friends
Bride,Bikram,L,Singh,b.simgh@yy.com,150,,,,,Yes,Undergrad friends
Groom,Amar,Z,Singh,a.singh@abc.com,151,,,NO,YES,,Indian Society
Bride,Ram,C,Singh,ram@a.com,152,,YES,,,,Dance friends
Bride,Raju,N,Sharma,raju.sharma@examle.com,153,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,R,Verma,rani.v@abc.com,154,,Yes,,Yes,,USC friends
Bride,Bikram,P,Singh,b.simgh@yy.com,155,,,,,Yes,Undergrad friends
Groom,Amar,J,Singh,a.singh@abc.com,156,,,NO,YES,,Indian Society
Bride,Ram,K,Singh,ram@a.com,157,,YES,,,,Dance friends
Bride,Raju,A,Sharma,raju.sharma@examle.com,158,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,A,Verma,rani.v@abc.com,159,,Yes,,Yes,,USC friends
Bride,Bikram,B,Singh,b.simgh@yy.com,160,,,,,Yes,Undergrad friends
Groom,Amar,C,Singh,a.singh@abc.com,161,,,NO,YES,,Indian Society
Bride,Ram,Q,Singh,ram@a.com,162,,YES,,,,Dance friends
Bride,Raju,W,Sharma,raju.sharma@examle.com,163,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,E,Verma,rani.v@abc.com,164,,Yes,,Yes,,USC friends
Bride,Bikram,R,Singh,b.simgh@yy.com,165,,,,,Yes,Undergrad friends
Groom,Amar,T,Singh,a.singh@abc.com,166,,,NO,YES,,Indian Society
Bride,Ram,Y,Singh,ram@a.com,167,,YES,,,,Dance friends
Bride,Raju,U,Sharma,raju.sharma@examle.com,168,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,I,Verma,rani.v@abc.com,169,,Yes,,Yes,,USC friends
Bride,Bikram,O,Singh,b.simgh@yy.com,170,,,,,Yes,Undergrad friends
Groom,Amar,P,Singh,a.singh@abc.com,171,,,NO,YES,,Indian Society
Bride,Ram,A,Singh,ram@a.com,172,,YES,,,,Dance friends
Bride,Raju,S,Sharma,raju.sharma@examle.com,173,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,D,Verma,rani.v@abc.com,174,,Yes,,Yes,,USC friends
Bride,Bikram,F,Singh,b.simgh@yy.com,175,,,,,Yes,Undergrad friends
Groom,Amar,G,Singh,a.singh@abc.com,176,,,NO,YES,,Indian Society
Bride,Ram,H,Singh,ram@a.com,177,,YES,,,,Dance friends
Bride,Raju,I,Sharma,raju.sharma@examle.com,178,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,J,Verma,rani.v@abc.com,179,,Yes,,Yes,,USC friends
Bride,Bikram,L,Singh,b.simgh@yy.com,180,,,,,Yes,Undergrad friends
Groom,Amar,Z,Singh,a.singh@abc.com,181,,,NO,YES,,Indian Society
Bride,Ram,C,Singh,ram@a.com,182,,YES,,,,Dance friends
Bride,Raju,N,Sharma,raju.sharma@examle.com,183,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,R,Verma,rani.v@abc.com,184,,Yes,,Yes,,USC friends
Bride,Bikram,P,Singh,b.simgh@yy.com,185,,,,,Yes,Undergrad friends
Groom,Amar,J,Singh,a.singh@abc.com,186,,,NO,YES,,Indian Society
Bride,Ram,K,Singh,ram@a.com,187,,YES,,,,Dance friends
Bride,Raju,A,Sharma,raju.sharma@examle.com,188,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,A,Verma,rani.v@abc.com,189,,Yes,,Yes,,USC friends
Bride,Bikram,B,Singh,b.simgh@yy.com,190,,,,,Yes,Undergrad friends
Groom,Amar,C,Singh,a.singh@abc.com,191,,,NO,YES,,Indian Society
Bride,Ram,Q,Singh,ram@a.com,192,,YES,,,,Dance friends
Bride,Raju,W,Sharma,raju.sharma@examle.com,193,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,E,Verma,rani.v@abc.com,194,,Yes,,Yes,,USC friends
Bride,Bikram,R,Singh,b.simgh@yy.com,195,,,,,Yes,Undergrad friends
Groom,Amar,T,Singh,a.singh@abc.com,196,,,NO,YES,,Indian Society
Bride,Ram,Y,Singh,ram@a.com,197,,YES,,,,Dance friends
Bride,Raju,U,Sharma,raju.sharma@examle.com,198,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,I,Verma,rani.v@abc.com,199,,Yes,,Yes,,USC friends
Bride,Bikram,O,Singh,b.simgh@yy.com,200,,,,,Yes,Undergrad friends
Groom,Amar,P,Singh,a.singh@abc.com,201,,,NO,YES,,Indian Society
Bride,Ram,A,Singh,ram@a.com,202,,YES,,,,Dance friends
Bride,Raju,S,Sharma,raju.sharma@examle.com,203,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,D,Verma,rani.v@abc.com,204,,Yes,,Yes,,USC friends
Bride,Bikram,F,Singh,b.simgh@yy.com,205,,,,,Yes,Undergrad friends
Groom,Amar,G,Singh,a.singh@abc.com,206,,,NO,YES,,Indian Society
Bride,Ram,H,Singh,ram@a.com,207,,YES,,,,Dance friends
Bride,Raju,I,Sharma,raju.sharma@examle.com,208,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,J,Verma,rani.v@abc.com,209,,Yes,,Yes,,USC friends
Bride,Bikram,L,Singh,b.simgh@yy.com,210,,,,,Yes,Undergrad friends
Groom,Amar,Z,Singh,a.singh@abc.com,211,,,NO,YES,,Indian Society
Bride,Ram,C,Singh,ram@a.com,212,,YES,,,,Dance friends
Bride,Raju,N,Sharma,raju.sharma@examle.com,1234567890,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,R,Verma,rani.v@abc.com,1222222222,,Yes,,Yes,,USC friends
Bride,Bikram,P,Singh,b.simgh@yy.com,1333333333,,,,,Yes,Undergrad friends
Groom,Amar,J,Singh,a.singh@abc.com,1444444444,,,NO,YES,,Indian Society
Bride,Ram,K,Singh,ram@a.com,15555555555,,YES,,,,Dance friends
Bride,Raju,A,Sharma,raju.sharma@examle.com,1234567890,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,A,Verma,rani.v@abc.com,1222222222,,Yes,,Yes,,USC friends
Bride,Bikram,B,Singh,b.simgh@yy.com,1333333333,,,,,Yes,Undergrad friends
Groom,Amar,C,Singh,a.singh@abc.com,1444444444,,,NO,YES,,Indian Society
Bride,Ram,Q,Singh,ram@a.com,15555555555,,YES,,,,Dance friends
Bride,Raju,W,Sharma,raju.sharma@examle.com,1234567890,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,E,Verma,rani.v@abc.com,1222222222,,Yes,,Yes,,USC friends
Bride,Bikram,R,Singh,b.simgh@yy.com,1333333333,,,,,Yes,Undergrad friends
Groom,Amar,T,Singh,a.singh@abc.com,1444444444,,,NO,YES,,Indian Society
Bride,Ram,Y,Singh,ram@a.com,15555555555,,YES,,,,Dance friends
Bride,Raju,U,Sharma,raju.sharma@examle.com,1234567890,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,I,Verma,rani.v@abc.com,1222222222,,Yes,,Yes,,USC friends
Bride,Bikram,O,Singh,b.simgh@yy.com,1333333333,,,,,Yes,Undergrad friends
Groom,Amar,P,Singh,a.singh@abc.com,1444444444,,,NO,YES,,Indian Society
Bride,Ram,A,Singh,ram@a.com,15555555555,,YES,,,,Dance friends
Bride,Raju,S,Sharma,raju.sharma@examle.com,1234567890,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,D,Verma,rani.v@abc.com,1222222222,,Yes,,Yes,,USC friends
Bride,Bikram,F,Singh,b.simgh@yy.com,1333333333,,,,,Yes,Undergrad friends
Groom,Amar,G,Singh,a.singh@abc.com,1444444444,,,NO,YES,,Indian Society
Bride,Ram,H,Singh,ram@a.com,15555555555,,YES,,,,Dance friends
Bride,Raju,I,Sharma,raju.sharma@examle.com,1234567890,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,J,Verma,rani.v@abc.com,1222222222,,Yes,,Yes,,USC friends
Bride,Bikram,L,Singh,b.simgh@yy.com,1333333333,,,,,Yes,Undergrad friends
Groom,Amar,Z,Singh,a.singh@abc.com,1444444444,,,NO,YES,,Indian Society
Bride,Ram,C,Singh,ram@a.com,15555555555,,YES,,,,Dance friends
Bride,Raju,N,Sharma,raju.sharma@examle.com,123,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,R,Verma,rani.v@abc.com,124,,Yes,,Yes,,USC friends
Bride,Bikram,P,Singh,b.simgh@yy.com,125,,,,,Yes,Undergrad friends
Groom,Amar,J,Singh,a.singh@abc.com,126,,,NO,YES,,Indian Society
Bride,Ram,K,Singh,ram@a.com,127,,YES,,,,Dance friends
Bride,Raju,A,Sharma,raju.sharma@examle.com,128,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,A,Verma,rani.v@abc.com,129,,Yes,,Yes,,USC friends
Bride,Bikram,B,Singh,b.simgh@yy.com,130,,,,,Yes,Undergrad friends
Groom,Amar,C,Singh,a.singh@abc.com,131,,,NO,YES,,Indian Society
Bride,Ram,Q,Singh,ram@a.com,132,,YES,,,,Dance friends
Bride,Raju,W,Sharma,raju.sharma@examle.com,133,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,E,Verma,rani.v@abc.com,134,,Yes,,Yes,,USC friends
Bride,Bikram,R,Singh,b.simgh@yy.com,135,,,,,Yes,Undergrad friends
Groom,Amar,T,Singh,a.singh@abc.com,136,,,NO,YES,,Indian Society
Bride,Ram,Y,Singh,ram@a.com,137,,YES,,,,Dance friends
Bride,Raju,U,Sharma,raju.sharma@examle.com,138,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,I,Verma,rani.v@abc.com,139,,Yes,,Yes,,USC friends
Bride,Bikram,O,Singh,b.simgh@yy.com,140,,,,,Yes,Undergrad friends
Groom,Amar,P,Singh,a.singh@abc.com,141,,,NO,YES,,Indian Society
Bride,Ram,A,Singh,ram@a.com,142,,YES,,,,Dance friends
